id,chatgpt_response,code_1,code_2,code_3,code_4,code_5,code_6
51008372,1 3 1 2 99 99,1,3,1,2,99,99
37867659,0 99 99 99 99 99,0,99,99,99,99,99
35723271,0 99 99 99 99 99,0,99,99,99,99,99
37692848,0 99 99 99 99 99,0,99,99,99,99,99
53029341,0 99 99 99 99 99,0,99,99,99,99,99
37165994,0 99 99 99 99 99,0,99,99,99,99,99
47777715,0 99 99 99 99 99,0,99,99,99,99,99
46436069,0 99 99 99 99 99,0,99,99,99,99,99
47803207,0 99 99 99 99 99,0,99,99,99,99,99
40320724,0 99 99 99 99 99,0,99,99,99,99,99
50387387,,,NA,NA,NA,NA,NA
47603340,,,NA,NA,NA,NA,NA
44879577,0 99 99 99 99 99,0,99,99,99,99,99
43932403,,,NA,NA,NA,NA,NA
30280355,0 99 99 99 99 99,0,99,99,99,99,99
29335396,,,NA,NA,NA,NA,NA
44057537,,,NA,NA,NA,NA,NA
52747700,,,NA,NA,NA,NA,NA
54566581,0 99 99 99 99 99,0,99,99,99,99,99
37180031,,,NA,NA,NA,NA,NA
55390736,,,NA,NA,NA,NA,NA
38960393,0 99 99 99 99 99,0,99,99,99,99,99
37335535,,,NA,NA,NA,NA,NA
48083189,,,NA,NA,NA,NA,NA
53755412,1 4 1 2 99 99,1,4,1,2,99,99
48907380,,,NA,NA,NA,NA,NA
49743709,,,NA,NA,NA,NA,NA
48437229,0 99 99 99 99 99,0,99,99,99,99,99
51565739,,,NA,NA,NA,NA,NA
50567735,,,NA,NA,NA,NA,NA
32240300,0 99 99 99 99 99,0,99,99,99,99,99
42193370,,,NA,NA,NA,NA,NA
40834894,,,NA,NA,NA,NA,NA
44777028,0 99 99 99 99 99,0,99,99,99,99,99
36065006,,,NA,NA,NA,NA,NA
52554492,,,NA,NA,NA,NA,NA
49974883,0 99 99 99 99 99,0,99,99,99,99,99
37374059,,,NA,NA,NA,NA,NA
50829227,,,NA,NA,NA,NA,NA
50948796,0 99 99 99 99 99,0,99,99,99,99,99
49967800,,,NA,NA,NA,NA,NA
30867102,,,NA,NA,NA,NA,NA
44589388,1 3 1 2 99 99,1,3,1,2,99,99
37039344,,,NA,NA,NA,NA,NA
50402486,0 99 99 99 99 99,0,99,99,99,99,99
31839584,,,NA,NA,NA,NA,NA
48778958,,,NA,NA,NA,NA,NA
49125916,0 99 99 99 99 99,0,99,99,99,99,99
53942366,,,NA,NA,NA,NA,NA
33585610,,,NA,NA,NA,NA,NA
49371506,1 1 2 4 99 3,1,1,2,4,99,3
42237323,,,NA,NA,NA,NA,NA
37745767,,,NA,NA,NA,NA,NA
36438374,0 99 99 99 99 99,0,99,99,99,99,99
49869266,,,NA,NA,NA,NA,NA
55555485,,,NA,NA,NA,NA,NA
48300512,,,NA,NA,NA,NA,NA
27895784,0 99 99 99 99 99,0,99,99,99,99,99
29190193,0 99 99 99 99 99,0,99,99,99,99,99
42253246,,,NA,NA,NA,NA,NA
50188822,,,NA,NA,NA,NA,NA
46154839,0 99 99 99 99 99,0,99,99,99,99,99
45921349,,,NA,NA,NA,NA,NA
31900955,,,NA,NA,NA,NA,NA
49996145,1 3 1 2 99 99,1,3,1,2,99,99
55291680,,,NA,NA,NA,NA,NA
38402254,,,NA,NA,NA,NA,NA
43811334,,,NA,NA,NA,NA,NA
30337270,0 99 99 99 99 99,0,99,99,99,99,99
37966029,,,NA,NA,NA,NA,NA
49356624,0 99 99 99 99 99,0,99,99,99,99,99
50588680,,,NA,NA,NA,NA,NA
52663258,,,NA,NA,NA,NA,NA
53382238,0 99 99 99 99 99,0,99,99,99,99,99
51425719,0 99 99 99 99 99,0,99,99,99,99,99
32109761,,,NA,NA,NA,NA,NA
37716225,,,NA,NA,NA,NA,NA
40198739,0 99 99 99 99 99,0,99,99,99,99,99
54137660,,,NA,NA,NA,NA,NA
43754509,,,NA,NA,NA,NA,NA
36671078,1 99 99 99 99 99,1,99,99,99,99,99
43250270,,,NA,NA,NA,NA,NA
47229942,,,NA,NA,NA,NA,NA
48560260,0 99 99 99 99 99,0,99,99,99,99,99
54036501,,,NA,NA,NA,NA,NA
53029635,,,NA,NA,NA,NA,NA
53218792,,,NA,NA,NA,NA,NA
