id,chatgpt_response,code_1,code_2,code_3,code_4,code_5,code_6
36882406,1 1 2 4 1 99,1,1,2,4,1,99
49778021,1 1 2 4 1 6,1,1,2,4,1,6
27011345,0 99 99 99 99 99,0,99,99,99,99,99
36961386,0 99 99 99 99 99,0,99,99,99,99,99
53279681,1 1 2 4 1 99,1,1,2,4,1,99
40740116,1 99 99 99 99 99,1,99,99,99,99,99
52500370,1 3 1 99 99 99,1,3,1,99,99,99
37855073,1 1 2 4 1 99,1,1,2,4,1,99
39185089,0 99 99 99 99 99,0,99,99,99,99,99
28345892,0 99 99 99 99 99,0,99,99,99,99,99
43198928,1 99 99 99 99 99,1,99,99,99,99,99
37850165,0 99 99 99 99 99,0,99,99,99,99,99
43098685,0 99 99 99 99 99,0,99,99,99,99,99
50971203,1 1 99 99 99 99,1,1,99,99,99,99
48451289,1 1 2 4 1 99,1,1,2,4,1,99
54638606,1 3 1 99 99 99,1,3,1,99,99,99
40319223,1 3 1 99 99 99,1,3,1,99,99,99
39484457,0 99 99 99 99 99,0,99,99,99,99,99
38509505,0 99 99 99 99 99,0,99,99,99,99,99
43403962,1 3 1 99 99 99,1,3,1,99,99,99
46492010,0 99 99 99 99 99,0,99,99,99,99,99
46425034,1 99 99 99 99 99,1,99,99,99,99,99
48253598,0 99 99 99 99 99,0,99,99,99,99,99
44932931,0 99 99 99 99 99,0,99,99,99,99,99
55044929,0 99 99 99 99 99,0,99,99,99,99,99
36931585,1 1 2 5 1 6,1,1,2,5,1,6
51994552,1 99 99 99 99 99,1,99,99,99,99,99
50820832,0 99 99 99 99 99,0,99,99,99,99,99
44595263,0 99 99 99 99 99,0,99,99,99,99,99
634679,1 3 1 99 99 99,1,3,1,99,99,99
40674593,1 1 2 4 1 99,1,1,2,4,1,99
50957889,1 1 2 4 1 99,1,1,2,4,1,99
37036695,0 99 99 99 99 99,0,99,99,99,99,99
38480700,1 99 99 99 99 99,1,99,99,99,99,99
38464956,0 99 99 99 99 99,0,99,99,99,99,99
38635577,1 3 1 99 99 99,1,3,1,99,99,99
36322563,1 99 99 99 99 99,1,99,99,99,99,99
38582414,0 99 99 99 99 99,0,99,99,99,99,99
30953872,0 99 99 99 99 99,0,99,99,99,99,99
55597137,0 99 99 99 99 99,0,99,99,99,99,99
49349981,0 99 99 99 99 99,0,99,99,99,99,99
42214173,0 99 99 99 99 99,0,99,99,99,99,99
37080967,1 4 1 99 99 99,1,4,1,99,99,99
55561066,0 99 99 99 99 99,0,99,99,99,99,99
45134457,0 99 99 99 99 99,0,99,99,99,99,99
43784431,0 99 99 99 99 99,0,99,99,99,99,99
51578792,0 99 99 99 99 99,0,99,99,99,99,99
50184680,1 1 2 4 1 99,1,1,2,4,1,99
43065531,1 1 2 4 1 3,1,1,2,4,1,3
53852721,0 99 99 99 99 99,0,99,99,99,99,99
44525600,1 1 2 4 1 99,1,1,2,4,1,99
35939321,0 99 99 99 99 99,0,99,99,99,99,99
46676770,0 99 99 99 99 99,0,99,99,99,99,99
42296483,1 3 1 99 99 99,1,3,1,99,99,99
28301628,1 1 2 4 1 99,1,1,2,4,1,99
44157432,1 1 2 4 1 99,1,1,2,4,1,99
51008372,,,NA,NA,NA,NA,NA
27788986,0 99 99 99 99 99,0,99,99,99,99,99
48401809,1 1 2 4 1 99,1,1,2,4,1,99
30130037,,,NA,NA,NA,NA,NA
29247379,0 99 99 99 99 99,0,99,99,99,99,99
535554,1 3 1 99 99 99,1,3,1,99,99,99
38159737,0 99 99 99 99 99,0,99,99,99,99,99
42556313,0 99 99 99 99 99,0,99,99,99,99,99
43069496,1 1 2 4 1 3,1,1,2,4,1,3
36878933,,,NA,NA,NA,NA,NA
38150315,0 99 99 99 99 99,0,99,99,99,99,99
38564663,,,NA,NA,NA,NA,NA
28377043,1 3 1 99 99 99,1,3,1,99,99,99
54031513,1 3 1 99 99 99,1,3,1,99,99,99
39102248,,,NA,NA,NA,NA,NA
42629405,1 1 2 4 1 3,1,1,2,4,1,3
29931414,0 99 99 99 99 99,0,99,99,99,99,99
37867659,,,NA,NA,NA,NA,NA
37802593,0 99 99 99 99 99,0,99,99,99,99,99
37957921,0 99 99 99 99 99,0,99,99,99,99,99
35723271,,,NA,NA,NA,NA,NA
37692848,,,NA,NA,NA,NA,NA
54373197,0 99 99 99 99 99,0,99,99,99,99,99
47598966,0 99 99 99 99 99,0,99,99,99,99,99
44899444,1 1 2 4 1 3,1,1,2,4,1,3
47490019,0 99 99 99 99 99,0,99,99,99,99,99
38751586,0 99 99 99 99 99,0,99,99,99,99,99
