id,chatgpt_response,code_1,code_2,code_3,code_4,code_5,code_6
36882406,0 99 99 99 99 99,0,99,99,99,99,99
49778021,1 1 2 4 99 99,1,1,2,4,99,99
27011345,0 99 99 99 99 99,0,99,99,99,99,99
36961386,0 99 99 99 99 99,0,99,99,99,99,99
53279681,1 1 2 4 1 99,1,1,2,4,1,99
40740116,0 99 99 99 99 99,0,99,99,99,99,99
52500370,1 3 1 2 99 99,1,3,1,2,99,99
37855073,1 1 2 4 99 99,1,1,2,4,99,99
39185089,1 99 99 99 99 99,1,99,99,99,99,99
28345892,0 99 99 99 99 99,0,99,99,99,99,99
43198928,1 99 99 99 99 99,1,99,99,99,99,99
37850165,0 99 99 99 99 99,0,99,99,99,99,99
43098685,0 99 99 99 99 99,0,99,99,99,99,99
50971203,1 99 99 99 99 99,1,99,99,99,99,99
48451289,1 1 2 4 99 99,1,1,2,4,99,99
54638606,1 3 1 2 99 99,1,3,1,2,99,99
40319223,1 3 1 2 99 99,1,3,1,2,99,99
39484457,0 99 99 99 99 99,0,99,99,99,99,99
38509505,0 99 99 99 99 99,0,99,99,99,99,99
43403962,1 3 1 2 99 99,1,3,1,2,99,99
46492010,0 99 99 99 99 99,0,99,99,99,99,99
46425034,,,NA,NA,NA,NA,NA
48253598,0 99 99 99 99 99,0,99,99,99,99,99
44932931,,,NA,NA,NA,NA,NA
55044929,,,NA,NA,NA,NA,NA
36931585,1 1 2 5 99 99,1,1,2,5,99,99
51994552,1 99 99 99 99 99,1,99,99,99,99,99
50820832,0 99 99 99 99 99,0,99,99,99,99,99
44595263,,,NA,NA,NA,NA,NA
634679,1 3 1 2 99 99,1,3,1,2,99,99
40674593,,,NA,NA,NA,NA,NA
50957889,1 1 2 4 99 99,1,1,2,4,99,99
37036695,0 99 99 99 99 99,0,99,99,99,99,99
38480700,1 99 99 99 99 99,1,99,99,99,99,99
38464956,,,NA,NA,NA,NA,NA
38635577,0 99 99 99 99 99,0,99,99,99,99,99
36322563,,,NA,NA,NA,NA,NA
38582414,,,NA,NA,NA,NA,NA
30953872,0 99 99 99 99 99,0,99,99,99,99,99
55597137,0 99 99 99 99 99,0,99,99,99,99,99
49349981,0 99 99 99 99 99,0,99,99,99,99,99
42214173,0 99 99 99 99 99,0,99,99,99,99,99
37080967,,,NA,NA,NA,NA,NA
55561066,0 99 99 99 99 99,0,99,99,99,99,99
45134457,,,NA,NA,NA,NA,NA
43784431,0 99 99 99 99 99,0,99,99,99,99,99
51578792,,,NA,NA,NA,NA,NA
50184680,1 1 2 4 99 99,1,1,2,4,99,99
43065531,,,NA,NA,NA,NA,NA
53852721,,,NA,NA,NA,NA,NA
44525600,1 1 2 4 99 99,1,1,2,4,99,99
35939321,,,NA,NA,NA,NA,NA
46676770,0 99 99 99 99 99,0,99,99,99,99,99
42296483,,,NA,NA,NA,NA,NA
28301628,,,NA,NA,NA,NA,NA
44157432,0 99 99 99 99 99,0,99,99,99,99,99
51008372,,,NA,NA,NA,NA,NA
27788986,0 99 99 99 99 99,0,99,99,99,99,99
48401809,,,NA,NA,NA,NA,NA
30130037,0 99 99 99 99 99,0,99,99,99,99,99
29247379,0 99 99 99 99 99,0,99,99,99,99,99
535554,1 3 1 2 99 99,1,3,1,2,99,99
38159737,,,NA,NA,NA,NA,NA
42556313,0 99 99 99 99 99,0,99,99,99,99,99
43069496,,,NA,NA,NA,NA,NA
36878933,1 1 2 4 99 99,1,1,2,4,99,99
38150315,,,NA,NA,NA,NA,NA
38564663,0 99 99 99 99 99,0,99,99,99,99,99
28377043,0 99 99 99 99 99,0,99,99,99,99,99
54031513,1 3 1 2 99 99,1,3,1,2,99,99
39102248,1 99 99 99 99 99,1,99,99,99,99,99
42629405,,,NA,NA,NA,NA,NA
29931414,0 99 99 99 99 99,0,99,99,99,99,99
37867659,,,NA,NA,NA,NA,NA
37802593,0 99 99 99 99 99,0,99,99,99,99,99
37957921,0 99 99 99 99 99,0,99,99,99,99,99
35723271,,,NA,NA,NA,NA,NA
37692848,,,NA,NA,NA,NA,NA
54373197,0 99 99 99 99 99,0,99,99,99,99,99
47598966,0 99 99 99 99 99,0,99,99,99,99,99
44899444,,,NA,NA,NA,NA,NA
47490019,,,NA,NA,NA,NA,NA
38751586,0 99 99 99 99 99,0,99,99,99,99,99
40668631,1 1 2 4 99 99,1,1,2,4,99,99
46767118,,,NA,NA,NA,NA,NA
38264394,0 99 99 99 99 99,0,99,99,99,99,99
38067899,0 99 99 99 99 99,0,99,99,99,99,99
35717649,0 99 99 99 99 99,0,99,99,99,99,99
35979961,0 99 99 99 99 99,0,99,99,99,99,99
28355353,0 99 99 99 99 99,0,99,99,99,99,99
53029341,,,NA,NA,NA,NA,NA
37165994,,,NA,NA,NA,NA,NA
50986821,0 99 99 99 99 99,0,99,99,99,99,99
36943473,0 99 99 99 99 99,0,99,99,99,99,99
26891113,,,NA,NA,NA,NA,NA
54172445,,,NA,NA,NA,NA,NA
50579794,0 99 99 99 99 99,0,99,99,99,99,99
47777715,,,NA,NA,NA,NA,NA
54611141,0 99 99 99 99 99,0,99,99,99,99,99
46436069,,,NA,NA,NA,NA,NA
36742161,0 99 99 99 99 99,0,99,99,99,99,99
819895,0 99 99 99 99 99,0,99,99,99,99,99
52660382,,,NA,NA,NA,NA,NA
38078295,1 99 99 99 99 99,1,99,99,99,99,99
47803207,,,NA,NA,NA,NA,NA
31721466,1 1 2 4 99 99,1,1,2,4,99,99
40320724,,,NA,NA,NA,NA,NA
37861302,1 1 99 99 99 99,1,1,99,99,99,99
52767933,,,NA,NA,NA,NA,NA
37465987,1 1 1 4 99 99,1,1,1,4,99,99
50387387,,,NA,NA,NA,NA,NA
28989802,0 99 99 99 99 99,0,99,99,99,99,99
42382637,,,NA,NA,NA,NA,NA
29224961,0 99 99 99 99 99,0,99,99,99,99,99
47603340,,,NA,NA,NA,NA,NA
28578523,0 99 99 99 99 99,0,99,99,99,99,99
34870632,,,NA,NA,NA,NA,NA
45590281,,,NA,NA,NA,NA,NA
1031345,1 3 1 2 99 99,1,3,1,2,99,99
